プロティノス,205,269,205年頃@269年
ポリビオス,-201,-120,前201年頃@前120年頃
リウィウス,-59,217,前59年@17年
リヴィウス,-59,217,前59年@17年
タキトゥス,120,255,55年頃@120年頃
プルタルコス,120,146,46年頃@120年頃
ストラボン,-64,121,前64年@21年頃
プリニウス,123,179,23年@79年
ガレノス,131,201,131年@201年
ユスティニアヌス,483,565,483年@565年
トリポニアヌス,546,546,546年
ハスモン朝,-166,-63,前166年@前63年
イエス,-7,530,前7年頃@前4年頃@30年頃
ペテロ,564,564,64年
パウロ,560,560,60年
ネロの迫害,564,564,64年
ディオクレティアヌス帝の大迫害,303,303,303年
ミラノ勃令,313,313,313年
ニケーア公会議,325,325,325年
アタナシウス,295,373,295年頃@373年
アリウス,250,336,250年頃@336年
エウセビオス,260,339,260年頃@339年
テオドシウス,379,395,379年@395年
アウグスティヌス,354,430,354年@430年
エフェソス公会議,431,431,431年
カルケドン公会議,451,451,451年
インダス文明,-2300,-1800,前2300年頃@前1800年頃
ヴェーダ時代,-1200,-600,前1200年頃@前600年頃
ナンダ朝,-351,-301,前4世紀後半
マウリヤ朝,-317,-180,前317年頃@前180年頃
サータヴァーハナ朝,-1,300,前1年@3世紀
アーンドラ朝,-1,300,前1年@3世紀
バクトリア,-255,-139,前255年頃@前139年
クシャーナ朝,201,401,1年@3世紀
ナーガールジュナ,201,402,2年@3世紀
竜樹,201,402,2年@3世紀
グプタ朝,320,550,320年頃@550年頃
法顕,337,422,337年頃@422年頃
カーリダーサ,401,500,5世紀
ヴァーカータカ朝,250,600,3世紀後半@6世紀
玄奘,602,664,602年@664年
義浄,635,713,635年@713年
パーラ朝,750,1155,750年頃@1155年頃
ラージプート時代,1108,1300,8年@13世紀
プラティーハーラ王国,800,1019,800年頃@1019年
チャーハマーナ王国,970,1192,10世紀末@1192年
パーンディヤ朝,-300,1400,前3世紀頃@14世紀
パッラヴァ朝,250,900,3世紀後半@9世紀末
チャールキヤ朝,501,800,6世紀@8世紀
チョーラ朝,-300,1300,前3世紀@13世紀
シンハラ王国,-500,1815,前5世紀頃@1815年
シンハリ王国,-500,1815,前5世紀頃@1815年
ドヴァーラヴァティー,701,1806,6年@8世紀頃
ペグー,801,900,9世紀頃
ピュー,701,800,8世紀頃
驃,701,800,8世紀頃
