class,instance,starting_time,ending_time,alias,land_of_origin,inventor,institutor
技術@発明,大砲,1259,,火砲@砲,中国,,
技術@発明,地震計,,,,,,
技術@発明,蓄音機,1877,,,アメリカ合衆国,エディソン,
暦,貞享暦,1685/2/4,1755/2/10,,日本,渋川春海,
技術@発明,鉄器,前1400頃,,,,,
技術@発明,鉄砲,,,,,,
技術@発明,天球儀,前255,,アーミラリ天球儀@渾天儀,古代ギリシア,エラトステネス,
技術@発明,天体観測,,,,,,
技術@発明,電気,,,,,,
技術@発明,電気掃除機,1899,,掃除機,,ジョン・サーマン,
技術@発明,電気冷蔵庫,1911,,,アメリカ合衆国,,
技術@発明,電信,1809,,,,サミュエル・トマス・フォン・ソンメリング,
技術@発明,電信機,,,,,,
技術@発明,電灯,,,,,,
技術@発明,電気機関車,1890,,電車,デビッドソン,,
技術@発明,電話,1876,,,アメリカ合衆国,ベル,
技術@発明,土器,2万年前,,,中国,,
文字,突厥文字,5世紀,13世紀,オルホン文字,ユーラシア大陸中央部,,
技術@発明,飛び梭,1733,,飛び杼,イギリス,ジョン・ケイ,
技術@発明,飛行機,1903,,,アメリカ合衆国,ライト兄弟,
文字,表意文字,,,,,,
文字,表音文字,,,音標文字,,,
技術@発明,砲術,,,,,,
技術@発明,磨製石器,新石器時代,,,,,
文字,満州文字,1599,,,満州,エルデニ@カガイ,ヌルハチ
技術@発明,木版印刷,唐代,,,,,
技術@発明,力織機,1785,,機械式織機,イギリス,カートライト,
暦,暦,前4000頃,,,古代エジプト,,
技術@発明,暦法,前4000頃,,,古代エジプト,,
技術@発明,六十進法,,,,メソポタミア,シュメール人,
文字,楔形文字,前3500頃,1世紀,,メソポタミア,シュメール人,
技術@発明,灌漑農業,前6000-前5000頃,,,メソポタミア@エジプト@イラン,,
技術@発明,占星術,前3世紀頃,,占星学,バビロニア地方,,
技術@発明,微積分法,17世紀,,微分積分学,ヨーロッパ,ニュートン@ライプニッツ@パスカル,
文字,摸形文字,,,,,,,
文字,絵文字,,,,,,,
文字,エジプト文字,,,,,,,
文字,神官文字,,,ヒエラティック,,,,
文字,民用文字,,,民衆文字@デモティック,,,,
文字,シナイ文字,,,,,,,
文字,フェニキア文字,,,,,,,
文字,クレタ絵文字,,,,,,,
風習,埋葬,,,,,,,
風習,ミイラ,,,,,,,
農法@農業,乾地農法,,,,,,,
農法@農業,天水農法,,,,,,,
農法@農業,略奪農法,,,,,,,
農法@農業,灌漑農業,,,,,,,
道具,骨角器,旧石器時代,,,,,,
道具,弓矢,,,,,,,
道具,土器,,,,,,,
道具,青銅器,,,,,,,
道具,銅器,,,,,,,
道具,鉄器,,,,,,,
道具,印章,,,,,,,
道具,粘土板,,,,,,,
道具,パピルス,,,,,,,
