class,instance,starting_time,ending_time,alias,religion,land_of_origin,advocate
神@女神,アプロディーテー,,,アプロディテ@アフロディテ@アフロディーテ@アフロダイティ,,ギリシア,
神,アレース,,,アーレース@アレス@アレウス@アーレウス,,ギリシア,
神@女神,アルテミス,,,,,ギリシア,
神@女神,デーメーテール,,,デメテル,,ギリシア,
神,ヘーパイストス,,,ヴァルカン@ヘパイストス@ヘファイストス,,ギリシア,
神,ヘルメース,,,ヘルメス,,ギリシア,
神,ポセイドーン,,,ポセイダーオーン@エノシガイオス@ポセイドン,,ギリシア,
神@女神,ヘスティア―,,,ヘスティア,,ギリシア,
非実在人物@宗教概念,ミノス,,,,ギリシア神話,,,
神,地母神,,,,,,,
神,マルドゥク,,,,バビロニア,,,
神,オシリス,,,,,,,
神,アッシュル神,,,,,,,
宗教概念,十戒,,,,,,,
宗教概念,出エジプト,,,,,,,
宗教概念,デルフォイの神託,,,デルフィの神託,,,,
宗教概念@役職,預言者,,,,,,,
説話@伝説,ノアの洪水伝説,,,,,,,
宗教概念@非実在人物,アガメムノーン,,,アガメムノン,ギリシア神話,,,
宗教概念@非実在人物,オイディプース,,,オイディプス@エイディプス,ギリシア神話,,,
神,ブラフマー,,,,ヒンドゥー教,,,,
神,天帝,,,上帝,中国,,,,
神話,ギリシア神話,,,,オリンポス,,,
宗教概念,正統教義,,,,,,,,
宗教概念,輪廻転生,,,,バラモン教@仏教,,,,
宗教概念,ダルマ,,,法,インド,,,,
宗教概念,第3回仏典結集,,,,仏教,インド,,,
宗教概念,第4回仏典結集,,,,仏教,インド,,,
宗教概念@信仰,菩薩信仰,,,,仏教,,,,
宗教概念@非実在人物,クリシュナ,,,,マハーバーラタ,,,,
宗教概念@非実在人物,ラーマ,,,,ラーマーヤナ,,,,
