class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
作曲家@皇帝,ハイドン,1732,1809,,,ドイツ,
詩人@作家@ジャーナリスト@商人,ハイネ,1797,1856,,,ドイツ,
詩人,バイロン,1788,1824,,イギリス,イギリス,
皇帝@王@教皇@大公,ハインリヒ4世,1050,1106,,古代ローマ,,
理論家@著者@使徒,パウロ,1世紀,67,,ローマ帝国,,ユダヤ人
皇帝,パオ・ダイ,1913,1997,保大帝@バオダイ,,ヴェトナム,
哲学者@自然哲学者@思想家@数学者@キリスト教神学者,パスカル,1623,1662,,,フランス,
生化学者@細菌学者@開祖@学者,パストゥール,1822,1895,,フランス,フランス,
僧@皇帝,パスパ,1235頃,1280,パスパ@八思巴@発思八@抜合思巴@ロテ・ギャンツェン@パクパ,元,,
作曲家@音楽家,バッハ,1685,1750,,,ドイツ,
,バトゥ,1207,1255,抜都@巴禿@八都罕,,モンゴル,
軍人@首相,バドリオ,1871,1956,,,イタリア,
シャー@皇帝@国王,パフレヴィー2世,1919,1980,パフラヴィー2世,,イラン,
皇帝,バヤジット1世,1360,1403,バヤズィト1世,オスマン帝国,,
王@大王,ハルシャ・ヴァルダナ,590,647,シーラーディトヤ@戒日王,ヴァルダナ朝,,
政治家,ハルデンベルク,1750,1822,,,プロイセン,
航海者,バルトロメウ・ディアス,1450頃,1500,バーソロミュー・ディアス ,ポルトガル,,
政治家@哲学者@貴族@首相@党首@大臣,バルフォア,1848,1930,,イギリス,イギリス,
探検家@植民地政治家@貴族@総督,バルボア,1475頃,1517,,,スペイン,
将軍,ハンニバル,前246,前183,,カルタゴ,,
王,ハンムラビ,前18世紀,前17世紀,,バビロン第1王朝,,
教役者@文学者@著者,バンヤン,1628,1688,,,イギリス,
探検家,ピアリ,1856,1920,,アメリカ合衆国,,
首相@元首@学者,ピウスツキ,1867,1935,,ポーランド,,
物理学者@学者,ピエール・キュリー,1859,1906,キュリー夫妻,
聖職者@神学者@博士@教父,ヒエロニムス,340頃,419頃,,,ダルマティア,
画家@素描家@彫刻家,ピカソ,1881,1973,,,スペイン,
画家@漫画家,ビゴー,1860,1927,,フランス,フランス,
コンキスタドール@貴族@軍人,ピサロ,1471頃,1541,,,スペイン,
政治家@国王@貴族,ビスマルク,1815,1898,,,ドイツ,
哲学者@数学者,ピタゴラス,前582頃,前497頃,ピュータゴラース,,ギリシア,
政治家@首相@大臣,ビット,1759,1806,,イギリス,イギリス,
医学者@医者@医師,ヒッポクラテス,前460頃,前375頃,ヒポクラテス,,ギリシア,
総統@首相@大統領@党首@元首,ヒトラー,1889,1945,アドルフ・ヒトラー,,ドイツ,
宣教師@司教,ピニョー,1741,1799,,,フランス,
国王@王,ピピン3世,714,768,ピピン,カロリング朝,,
貴族@皇帝@ツァーリ,ピョートル1世,1672,1725,ピョートル大帝,ロシア帝国,,
革命家,ビリャ,1878,1923,ビーリャ@ビジャ@ビージャ,メキシコ,,
詩人,ピンダロス,前518,前438,,,ギリシア,
軍人@政治家@首相@大統領@総長,ヒンデンブルク,1847,1934,,,ドイツ,
カリフ@開祖,ファｰティマ,614または606,632,,,アラビア,
王@女王,フアナ,1749,1555,女王フアナ,カスティリャ,,
化学者@物理学者@学者,ファラデー,1791,1867,,,イングランド,
大統領,フアレス,1806,1872,,メキシコ,,
画家@国王@主席,ファン・ダイク,1599,1641,,,フランドル,
民族運動家,ファン・チュー・チン,1872,1926,,,ヴェトナム,
民族主義運動指導者,ファン・ボイ・チャウ,1867,1940,,,ヴェトナム,
哲学者,フィヒテ,1762,1814,,,,
王@使徒@摂政,フィリップ,1165,1223,尊厳王,,フランス,
王@君主@皇帝@教皇@官僚,フィリップ4世,1268,1314,端麗王,,フランス,
王@大王,フィリッポス2世,前382,前336,ピリッポス,マケドニア,,
詩人@王@君主@シャー,フィルドゥシー,940頃,1025,,ガズナ朝,,
大統領,フーヴァー,1874,1964,,アメリカ合衆国,,
イエズス会士,ブーヴェ,1656,1730,白進,,フランス,
詩人@作家,プーシキン,1799,1837,,ロシア帝国,,
画家,フーベルト・ファン・エイク,1366頃,1426,ファン・アイク兄弟（兄）,,イタリア,
哲学者@倫理学者@社会思想家@思想家@学者,フーリエ,1772,1837,,フランス,フランス,
彫刻家@監督,フェイディアス,前490頃,前430頃,ペイディアス,アテネ,,
国王@王@女王@君主,フェリペ2世,1527,1578,フィリップ1世@フィリペ1世,,スペイン,
皇帝@王,フェリペ3世,1578,1621,フィリペ2世,,スペイン,
王,フェリペ4世,1605,1665,フィリペ3世,,スペイン,
国王,フェリペ5世,1683,1746,,,スペイン,
皇帝@王@女王@大公,フェルディナント1世,1503,1564,フェルナンド,神聖ローマ帝国,,
王@女王,フェルナンド,1452,1516,フェルナンド5世@フェルナンド2世,アラゴン王国,,
宣教師,フェルビースト,1623,1688,南懐仁@南怀仁@勛卿@敦伯,,ベルギー,
画家,フェルメール,1632,1675,,,オランダ,
皇帝,プガチョフ,1742頃,1775,,ロシア帝国,,
独立運動指導者@国王@アミール@王@カリフ@スルタン,フサイン,1856,1931,,ヒジャーズ王国,,
宗教思想家@宗教改革者@思想家,フス,1370頃,1415,,ボヘミア王国,,
政治家@首相@大統領,フセイン,1937,2006,サッダーム・フセイン,イラク,,
政治家@大統領,ブッシュ,1924,,ジョージ・H・W・ブッシュ,アメリカ合衆国,,
天文学者@著者@学者,プトレマイオス,2世紀,168頃,,古代ローマ,,
ハーン@皇帝,フビライ・ハン,1215,1294,忽必烈,,モンゴル,
,ブライト,1811,1889,,イギリス,イギリス,
将軍@王族,ブラガンサ,1811,1875,セバスティアン・ガブリエル・デ・ボルボン・イ・ブラガンサ,,ブラジル,
ハーン,フラグ,1218,1265,フレグ@クレグ,,モンゴル,
彫刻家,プラクシテレス,前4世紀,,,アテネ,,
哲学者,プラトン,前427,前347,,,ギリシア,
修道士,プラノ・カルピニ,1182頃,1252,ジョヴァンニ・ダ・ピアン・デル・カルピネ@プラノ・カルピニ,,イタリア,
建築家,ブラマンテ,1444,1514,,,イタリア,
政治家@外交官@著述家@物理学者@気象学者@学者,フランクリン,1706,1790,,アメリカ合衆国,,
政治家@大統領,フランクリン・ルーズヴェルト,1882,1945,フランクリン・ルーズベルト,アメリカ合衆国,,
軍人@政治家@総統,フランコ,1892,1975,,,スペイン,
哲学者@神学者@法学者,フランシス・ベーコン,1561,1626,,,イギリス,
司祭@宣教師@王,フランシスコ・シャヴィエル,1506,1552,ザビエル,,スペイン,
王@君主,フランソワ1世,1494,1547,,,フランス,
修道士,フランチェスコ,1181頃,1226,アシジの聖フランシスコ,,イタリア,
大公,フランツ,1863,1914,,,オーストリア,
皇帝@大公,フランツ1世,1708,1765,,神聖ローマ帝国,,
首相@党首,ブラント,1913,1992,,ドイツ連邦共和国,,
政治家@首相@外相@大統領,ブリアン,1862,1932,,フランス,フランス,
皇帝,フリードリヒ,1503,1554,,,ドイツ,
王@軍人,フリードリヒ・ヴェルヘルム1世,1688,1740,兵隊王@軍人王,プロイセン王国,,
皇帝@王@大公,フリードリヒ1世,1122,1190,赤ひげ王,神聖ローマ帝国,,
王@君主@大王,フリードリヒ2世,1712,1786,,プロイセン王国,,
博物学者@文人@軍人@総督@学者,プリニウス,23,79,大プリニウス,古代ローマ,,
画家,ブリューゲル,1528,1569,ペーター@ペーテル,,イタリア,
社会主義者@無政府主義者,プルードン,1809,1865,,フランス,フランス,
政治家@首相,フルシチョフ,1894,1971,,ソヴィエト社会主義共和国連邦,,
著述家,プルタルコス,46頃,120頃,プルターク,古代ローマ,,
技術者@発明家,フルトン,1765,1815,,アメリカ合衆国,,
政治家@首相,ブルム,1872,1950,,フランス,フランス,
政治家@首相@元首,ブレジネフ,1907,1982,,ソヴィエト社会主義共和国連邦,,
君主,プレスター・ジョン,,,,,,
精神分析学者@精神科医@学者,フロイト,1856,1939,,,オーストリア,
哲学者@ソフィスト,プロタゴラス,前485頃,前415頃,,,ギリシア,
学者@カリフ,フワーリズミー,780,850,,アッバース朝,,
僭主@貴族,ペイシストラトス,前600頃,前527,,アテネ,,
哲学者@思想家,ヘーゲル,1770,1831,,,ドイツ,
航海士@探検家,ベーリング,1681,1741,,,デンマーク,
詩人,ヘシオドス,前700頃,,,,ギリシア,
軍人@政治家@首相@主席,ペタン,1856,1951,,フランス,フランス,
地理学者@中央アジア探検家@学者,ヘディン,1865,1952,,スウェーデン王国,,
使徒,ペテロ,1世紀,67,シモン・ペトロ@ペテロ@ケファ,,パレスティナ,ユダヤ人
詩人@人文主義者@学者,ペトラルカ,1304,1374,フランチェスコ・ペトラッコ,,イタリア,
修道士,ベネディクトゥス,480頃,543頃,ベネディクト@ベンディクト,,イタリア,
小説家@詩人,ヘミングウェー,1899,1961,ヘミングウェイ,アメリカ合衆国,,
開祖@皇帝,ヘラクレイオス1世,575,641,イラクリオス,東ローマ帝国,,
哲学者,ヘラクレイトス,前544頃,前480頃,,,ギリシア,
画家,ベラスケス,1599,1660,,,スペイン,
軍人,ペリー,1794,1858,,アメリカ合衆国,,
政治家@軍人@将軍@貴族,ペリクレス,前495,前429,大ペリクレス,アテネ,,
科学者@発明家@工学者,ベル,1847,1922,,スコットランド,,
生理学者@物理学者@学者,ヘルムホルツ,1821,1894,,,ドイツ,
理論家@政治家,ベルンシュタイン,1850,1932,,ドイツ帝国,ドイツ,
歴史家,ヘロドトス,前484頃,前425頃,,,ギリシア,
軍人@政治家　@大統領,ペロン,1895,1974,,アルゼンチン,,
哲学者@経済学者@法学者@学者,ベンサム,1748,1832,ベンタム,イギリス,イギリス,
作曲家,ヘンデル,1685,1759,ハンドル@ヘンドル,,ドイツ,
王@君主@皇后@貴族@皇帝,ヘンリ2世,1133,1189,,,イギリス,
王,ヘンリ3世,1207,1272,,,イギリス,
国王@王@君主@貴族@皇帝,ヘンリ7世,1457,1509,,,イギリス,
王,ヘンリ8世,1491,1547,,,イギリス,
発明家,ホイットニー,1765,1825,,アメリカ合衆国,,
自然哲学者@化学者@物理学者@発明家@貴族@学者,ボイル,1626,1691,,,アイルランド,
革命家@政治家@主席,ホー・チ・ミン,1890,1969,グエン・シン・クン@グエン・タト・タイン@グエン・アイ・クォック@ホーおじさん,,ヴェトナム,
海賊@私掠船船長@奴隷商人@海軍提督@商人@船長@提督,ホーキンズ,1532,1595,,,イギリス,
詩人@評論家,ボードレール,1821,1867,,フランス,フランス,
政治家,ホーネッカー,1912,1994,,ドイツ民主共和国,,
カトリック司教@神学者@司教,ボシュエ,1627,1704,レーグル・ド・モー,,フランス,
ハーン@君主@シャー@王族,ホスロー1世,,579,,ササン朝ペルシア,,
医師@著作家@画家@学者,ホセ・リサール,1861,1896,,,フィリピン,
経済学者@法学者@弁護士@学者,ボダン,1530,1596,ボーダン,,フランス,
詩人@作家@商人@教師,ボッカチオ,1313,1375,,,イタリア,
画家,ボッティチェリ,1444頃,1510,アレッサンドロ・ディ・マリアーノ・フィリペーピ ,,イタリア,
哲学者,ホッブズ,1588,1679,,,イギリス,
王@教皇,ボニファテイウス8世,1235,1303,,古代ローマ,,
政治家@法学者@皇帝@元首,ホメイニ,1902,1989,,,イラン,
詩人,ホメロス,前8世紀頃,,ホメーロス,,ギリシア,
詩人,ホラティウス,前65,前8,,古代ローマ,,
歴史家,ポリビオス,前201頃,前120頃,ホリュビオス,,ギリシア,
軍人@君主@国王@摂政@元首,ホルティ,1868,1959,ミクローシュ・ホルティ・ド・ナジバーニャ,ハンガリー,,
画家@作家,ホルバイン,1497,1543,,,ドイツ,
王@君主@皇帝@ハーン,ホンタイジ,1592,1643,太宗,清,,
軍人@政治家,ポンペイウス,前106,前48,,古代ローマ,,
物理学者@学者,マイヤー,1814,1878,,,ドイツ,
外交官@植民地行政官,マカートニー,1737,1806,,イギリス,イギリス,
政治思想家@外交官@君主@思想家,マキァヴェリ,1469,1527,,,イタリア,
王@国王@皇帝,マクシミリアン,1832,1867,フェルディナント・マクシミリアン・ヨーゼフ・フォン・ハプスブルク・ロートリンゲン,メキシコ,,
皇帝@大公,マクシミリアン1世,1459,1519,,神聖ローマ帝国,,
皇帝@王,マクシミリアン2世,1527,1576,,神聖ローマ帝国,,
政治家@労働党党首@党首@首相,マクドナルド,1866,1937,,イギリス,イギリス,
政治家@枢機卿,マザラン,1602,1661,ジュリオ・マッツァリーノ@ユリウス・ライムンドゥス・マザリヌス@ジュール・レーモン・マザラン@ジュール・マザラン,,フランス,
航海者@探検家,マゼラン,1480頃,1521,フェルナン・デ・マガリャンイス@フェルナンド・デ・マガリャネス@エルナンド,ポルトガル,,
大統領,マッキンリー,1843,1901,,アメリカ合衆国,,
社会学者@経済学者@学者,マックス・ウェーバー,1864,1920,マックス・ヴェーバー,,ドイツ,
政治家@革命家@教皇@王@首相@弁護士,マッツィーニ,1805,1872,,,イタリア,
画家,マティス,1869,1954,,フランス,フランス,
司祭,マテオ・リッチ,1552,1610,利瑪竇,,イタリア,
革命家@農民@大統領@大使@大臣@カリフ,マデロ,1873,1913,,メキシコ,,
預言者@開祖,マニ,216頃,276,マーニー,ササン朝ペルシア,,
画家,マネ,1832,1883,,フランス,フランス,
君主@大公@皇后@皇帝@女王@女帝,マリア・テレジア,1717,1780,,,オーストリア,
国王,マリー・アントワネット,1755,1793,,,フランス,
物理学者@科学者@学者,マリー・キュリー,1867,1934,キュリー夫人@キュリー夫妻,ポーランド,,
軍人@政治家,マリウス,前157頃,前86,大マリウス,古代ローマ,,
女優@カリフ,マリリン・モンロー,1926,1962,ノーマ・ジーン・モーテンソン@ノーマ・ジーン・ベイカー,アメリカ合衆国,,
皇后@皇帝@王,マルガレーテ・テレジア,1651,1673,マルガリータ・テレーザ・フォン・シュパーニエン,,スペイン,
哲学者@思想家@経済学者@革命家@学者,マルクス,1818,1883,,,ドイツ,
皇帝@君主,マルクス・アウレリウス,121,180,哲人皇帝@マルクス・アウレリウス・アントニヌス,古代ローマ,,
摂政@女王,マルグレーテ,1353,1412,,,デンマーク,
商人,マルコ・ポーロ,1254,1324,,,イタリア,
政治家@独裁者@大統領,マルコス,1917,1989,,フィリピン,,
経済学者@学者,マルサス,1766,1834,,イギリス,イギリス,
神学者@牧師,マルティン・ルター,1483,1546,ルター,,ドイツ,
政治家@弁護士@大統領@博士,マンデラ,1918,2013,,南アフリカ共和国,,
画家@彫刻家@詩人,ミケランジェロ,1475,1564,,,イタリア,
政治家@大統領@元首,ミッテラン,1916,1996,,フランス,フランス,
政治家@官僚@首相@君主@皇帝,ミドハト・パシャ,1822,1884,,オスマン帝国,,
ツァーリ@君主,ミハイル・ロマノフ,1596,1643,,,ロシア,
フランス革命指導者,ミラボー,1749,1791,,,フランス,
詩人,ミルトン,1608,1674,,,イギリス,
画家,ミレー,1814,1875,,,,
カリフ,ムアーウィヤ,603頃,680,ムアーウィヤ1世,ウマイヤ朝,,
王,ムーサー,,1337頃,マンサ・ムーサー,マリ,,
民族運動家,ムスタファ・カーミル,1874,1908,,,エジプト,
政治家@教師@軍人@首相,ムッソリーニ,1883,1945,,,イタリア,
開祖@軍事指導者@政治家@君主@使徒@軍人,ムハンマド,570頃,632,,,アラビア,
ウラマー@イスラーム改革思想家@思想家,ムハンマド・アブドゥフ,1849,1905,,,エジプト,
,ムハンマド・アフマド,1844,1885,,スーダン,,
隊長@総督@大王,ムハンマド・アリー,1769,1849,メフメト・アリー,,エジプト,
政治家@外交官@軍人@総督,ムラヴィヨフ,1809,1881,,ロシア帝国,,
王@女王,メアリ1世,1516,1558,ブラッディ・メアリー,,イギリス,
女王,メアリ2世,1662,1694,,,イングランド,
政治家@外相,メッテルニヒ,1773,1859,,,オーストリア,
君主@皇帝@スルタン@大王,メフメト2世,1432,1481,,オスマン帝国,,
司祭,メンデル,1822,1884,,,オーストリア,
作曲家@演奏家@教師,モーツァルト,1756,1791,,,ドイツ,
,モーセ,前13世紀頃,前13世紀頃,,,エジプト,
画家@発明家,モールス,1791,1872,サミュエル・モース,アメリカ合衆国,,
政治家@首相,モサデグ,1882,1967,モハンマド@モサッデク,,イラン,
劇作家@作家@医者@俳優@貴族,モリエール,1622,1673,ジャン・バティスト・ポクラン,,フランス,
皇帝@ハーン,モンケ・ハン,1209,1259,,,モンゴル,
司祭@宣教師,モンテ・コルヴィノ,1247,1328,,,イタリア,
哲学者@モラリスト@懐疑論者@人文主義者,モンテーニュ,1533,1592,,,フランス,
哲学者,モンテスキュー,1689,1755,シャルル・ルイ・ド・スゴンダ,,フランス,
黒人奴隷農場主@大統領,モンロー,1758,1831,,アメリカ合衆国,,
言語学@文学者@法学者@学者,ヤーコプ,1785,1863,グリム兄弟,
王@大公,ヤゲウォ,1351,1434,ヴワディスワフ2世ヤギェウォ@ヨガイラ,ヤゲウォ朝,,
画家,ヤン・ファン・エイク,1395頃,1441,ファン・アイク兄弟,,,
王,ユーグ・カペー,940,990,,カペー朝,,
詩人@小説家@政治家,ユゴー,1802,1885,ユーゴー,フランス,フランス,
皇帝,ユスティニアヌス帝,483,565,ユスティニアヌス１世,東ローマ帝国,,
皇帝,ヨーゼフ1世,1678,1711,,神聖ローマ帝国,,
皇帝@大公@君主@王,ヨーゼフ2世,1741,1790,ヨーゼフ・ベネディクト・アウグスト・ヨハン・アントン・ミヒャエル・アダム・フォン・ハプスブルク・ロートリンゲン,神聖ローマ帝国,,
軍人@政治家,ラ・ファイエット,1757,1834,,フランス,フランス,
哲学者@数学者,ライプニッツ,1646,1716,,,ドイツ,
化学者@医者@貴族@医師,ラヴォワジェ,1743,1794,,,フランス,
軍人@隊長@学者,ラクスマン,1766,1803頃,,ロシア帝国,,
政治家@君主@医師,ラシード・ウッディーン,1249,1318,,イル・ハン国,,
劇作家@悲劇作家@作家@王,ラシーヌ,1639,1699,,,フランス,
カトリック司祭@司教@司祭,ラス・カサス,1474,1566,,,スペイン,
画家@建築家@教皇@作家@職人,ラファエロ,1483,1520,,,イタリア,
自然科学者@数学者@物理学者@天文学者@学者,ラプラース,1749,1827,,フランス,フランス,
人文主義者@作家@医師,ラブレー,1494,1553,,,フランス,
大王,ラメス2世,前1314@前1302,前1224@前1212,ラムセス2世,,エジプト,
歴史家@学者,ランケ,1795,1886,,,ドイツ,
詩人,ランボー,1854,1891,,フランス,フランス,
歴史家,リヴィウス,前59,17,リウィウス,古代ローマ,,
探検家@宣教師@医師,リヴィングストン,1813,1873,,イギリス,イギリス,
経済学者@学者,リカード,1772,1823,,イギリス,イギリス,
政治家@枢機卿,リシュリュー,1585,1642,,,フランス,
経済学者@学者,リスト,1789,1846,,,ドイツ,
生化学者@分子生物学者@シャー,リチャード・ロバーツ,1943,,,イギリス,イギリス,
王,リチャード1世,1157,1199,獅子心王,,イギリス,
政治家@弁護士@大統領,リンカーン,1809,1865,エイブラハム・リンカーン,アメリカ合衆国,,
博物学者@生物学者@植物学者@学者,リンネ,1707,1778,カロルス・リンナエウス@分類学の父,スウェーデン王国,,
国王,ルイ・フィリップ,1773,1850,,フランス,フランス,
政治家@歴史家@農民,ルイ・ブラン,1811,1882,,フランス,フランス,
王@君主@枢機卿@国王@摂政,ルイ13世,1601,1643,ルイス2世,,フランス,
王@君主@国王@元首@思想家,ルイ14世,1638,1715,ルイス3世,,フランス,
王@枢機卿@国王@摂政,ルイ15世,1710,1774,ルイス4世@最愛王,,フランス,
王@君主@皇后@国王@皇帝,ルイ16世,1754,1793,ルイス5世,,フランス,
国王,ルイ18世,1755,1824,ルイス7世,フランス,フランス,
王@国王,ルイ9世,1214,1270,,,フランス,
画家@王@学者@貴族,ルーベンス,1577,1640,ペーテル・パウル・リュベンス@ピーテル・パウル・リュベンス,,フランドル,
哲学者@作家,ルソー,1712,1778,,,フランス,
画家@俳優@監督,ルノワール,1841,1919,,フランス,フランス,
社会人類学者@民族学者@学者,レヴィ・ストロース,1908,2009,,ベルギー王国,,
俳優@政治家@大統領,レーガン,1911,2004,,アメリカ合衆国,,
革命家@政治家,レーニン,1870,1924,ウラジーミル・イリイチ・ウリヤノフ,ロシア帝国,,
教皇,レオ10世,1475,1521,ジョヴァンニ・デ・メディチ,,イタリア,
教皇,レオ3世,750頃,816,,古代ローマ,,
画家@科学者@農夫,レオナルド・ダ・ヴィンチ,1452,1519,万能人@レオナルド・ディ・セル・ピエーロ・ダ・ヴィンチ,,イタリア,
皇帝@大公@王,レオポルト1世,1640,1705,,神聖ローマ帝国,,
国王,レオポルド2世,1835,1909,,ベルギー王国,,
王@皇帝@司令官,レオン3世,685,741,レオ,東ローマ帝国,,
シャー@皇帝@ハーン,レザー・ハーン,1878,1944,レザー・シャー,,イラン,
外交官@カリフ@隊長,レザノフ,1764,1807,,ロシア帝国,,
外交官@実業家,レセップス,1805,1894,,フランス,フランス,
政治家@軍人,レピドゥス,,前13頃,,古代ローマ,,
物理学者@学者,レントゲン,1845,1923,,,ドイツ,
画家,レンブラント,1606,1669,,,オランダ,
政治家@貴族@首相,ロイド・ジョージ,1863,1945,初代ロイド・ジョージ・オブ・ドワィフォー伯爵,イギリス,イギリス,
,ロイヒリン,1455,1522,,,ドイツ,
政治理論家@哲学者@革命家,ローザ・ルクセンブルク,1871,1919,,ポーランド,,
学者,ローリンソン,1810,1895,,イギリス,イギリス,
哲学者@司祭@博士,ロジャー・ベーコン,1214頃,1291,,,イギリス,
彫刻家,ロダン,1840,1917,,フランス,フランス,
哲学者,ロック,1632,1704,,,イギリス,
社会改革家,ロバート・オーウェン,1771,1858,,イギリス,イギリス,
政治家@革命指導者,ロベスピエール,1758,1794,,,フランス,
作家,ロマン・ロラン,1866,1944,,フランス,フランス,
作曲家@指揮者@王,ワグナー,1813,1883,楽劇王,,ドイツ,
軍人@政治家@黒人奴隷農場主@大統領,ワシントン,1732,1799,ジョージ=ワシントン,アメリカ合衆国,,
発明家@エンジニア,ワット,1736,1819,,スコットランド,,
農夫@司教@国王@職人@農民,ワット・タイラー,,1381,,,イギリス,
画家,ワトー,1684,1721,フェート・ギャラント,,フランス,
政治家@労働組合指導者@電気技師@大統領@技師,ワレサ,1943,,レフ・ヴァウェンサ,ポーランド,,
環境保護活動家@博士,ワンガリ・マータイ,1940,2011,,ケニア,,
政治家@大統領,ンクルマ,1909,1972,エンクルマ,ガーナ,,
高官,阿倍仲麻呂,698,770,仲満@晁衡@朝衡@朝臣,日本,,
皇帝@軍人,安禄山,705,757,康南海,唐,,
武士@政治家@貴族@大臣,伊藤博文,1841,1909,滄浪閣主人@春畝公,日本,,
商人@測量士,伊能忠敬,1745,1818,郎右衛門@勘解由,日本,,
皇帝,永楽帝,1360,1424,成祖,明,,
僧,円仁,794,864,慈覚大師,日本,,
政治家@歴史学者@詩人@文学者@学者,欧陽脩,1007,1072,永叔@醉翁@六一居士@文忠,北宋,,
政治家@詩人@文章家@王,王安石,1021,1086,介甫@半山,北宋,,
詩人@書家@画家@王@音楽家@官僚,王維,701頃,761,摩詰@王右丞@詩仏,唐,,
王@大王,王建,877,943,太祖,高麗,,
儒学者@思想家@王,王守仁,1472,1528,王陽明,明,,
王,王昭君,前1世紀頃,,嬙@昭君,匈奴,,
反乱指導者@王,王仙芝,,878,,唐,,
政治家@書家@王@将軍@貴族,王羲之,307頃,365頃,逸少@王右軍,東晋,,
政治家@書家@王@将軍@貴族,王羲之,303,361,王右軍,東晋,,
皇帝@王@皇后,王莽,前45,23,巨君,新,,
水墨画家@王@発明家,黄公望,1269,1354,,元,,
儒学者,黄宋義,1610,1695,,清,,
指導者,黄巣,,884,,唐,,
皇帝,嘉慶帝,1760,1820,仁宗,清,,
天文学者@暦学者@水利事業家,郭守敬,1231,1316,若思,元,,
武将,岳飛,1103,1141,,南宋,,
皇帝,乾隆帝,1711,1799,高宗,清,,
皇帝,完顔阿骨打,1068,1123,阿骨@太祖,金,,
軍事大使@大使,甘英,1世紀,,崇蘭,後漢,,
思想家@詩人@法家@著者@人物,韓非,,前233,韓子@韓非子,秦,,
文人@士大夫,韓愈,768,824,韓退之,唐,,
書家,顔真卿,709,786頃,清臣,唐,,
皇帝,徽宗,1082,1135,体神合道駿烈遜功聖文仁徳憲慈顕孝皇帝@佶,北宋,,
僧,義浄,635,715,,唐,,
皇帝,欽宗,1100,1165,亶@趙烜@趙桓@恭文順徳仁孝皇帝@欽宗,北宋,,
政治家@大統領@博士,金泳三,1927,,きんえいさん,大韓民国,,
政治家,金玉均,1851,1894,伯温@古愚,李氏朝鮮,,
政治家@大統領@博士,金大中,1925,2007,きんだいちゅう,大韓民国,,
政治家@軍人@首相@主席@党首,金日成,1912,1994,きんにっせい,朝鮮民主主義人民共和国,,
政治家@詩人@王,屈原,前340,前278,羋@屈@平@正則@原,楚,,
皇帝,建文帝,1377,1402,允炆,明,,
皇帝,玄宗,685,762,隆基,唐,,
僧@開祖,玄奘,600頃,664,玄奘三蔵@三蔵法師,唐,,
学者@思想家@外交官,胡適,1891,1962,嗣穈@希疆@適@適之,中華民国,,
儒学者@始祖,顧炎武,1613,1682,,清,,
儒学者,顧憲成,1550,1612,叔時@涇陽@文端,明,,
画家@将軍,顧愷之,344頃,405頃,長康@顧虎頭,東晋,,
軍人@政治家@軍事思想家@兵家@思想家,呉子,前440頃,前381,呉起,,中国,
,呉広,,,,,中国,
軍人@皇帝@王,呉三桂,1612,1678,月所@長白@太祖 ,明@清,,
画家,呉道玄,8世紀,,画聖,唐,,
皇帝,光緒帝,1871,1908,徳宗,清,,
学者@博士,孔穎達,574,648,,唐,,
思想家@哲学者@始祖,孔子,前551頃,前479,孔@丘@仲尼,,中国,
皇帝,孝文帝,467,499,宏,北魏,,
王@大王,広開土王,374,412,好太王,高句麗,,
思想家@政治家@書家,康有為,1858,1927,康南海,清,,
皇帝,康熙帝,1654,1722,聖祖,清,,
宗教家@革命家,洪秀全,1813,1864,洪火秀@仁坤@,清,,
武将,項羽,前232,前202,項籍@羽,,中国,
皇帝,高宗,649,683,李治@為善@稚奴@天皇大聖大弘孝皇帝,唐,,
国王@王@皇帝@王族,高宗,1852,1919,徳寿宮李太王@光武皇帝@翼成君,李氏朝鮮,,
大臣@官僚@総督,左宗棠,1812,1885,老亮@諸葛亮,清,,
皇帝@王,司馬炎,236,290,武帝,西晋,,
儒学者@歴史家@政治家@王@編者,司馬光,1019,1086,君実@迂叟@涑水先生@文正,北宋,,
歴史家@著者,司馬遷,前145頃,前86頃,司馬@遷@子長,前漢,,
皇帝@王,司馬睿,276,322,元帝,東晋,,
軍人@皇帝,史思明,,761,史窣幹@思明@大聖周皇帝 ,唐,,
王@皇帝,始皇帝,前259,前210,嬴@秦王政@秦始皇,秦,,
政治家@小説家@司令官@総督,柴四郎,1853,1922,柴四朗@東海散士,日本,,
皇帝,朱元璋,1328,1398,太祖@洪武帝,明,,
皇帝,朱全忠,852,912,太祖@温@全忠@晃,後梁 ,,
儒学者,朱熹,1130,1200,朱子,南宋,,
政治家@首相,周恩来,1898,1976,不倒翁,中華人民共和国,中国,
儒学者,周敦頣,1017,1073,茂叔@濂渓@周敦頤,北宋,,
天文暦学者@囲碁棋士@神道家,渋川春海,1639,1715,安井算哲,日本,,
皇帝,順治帝,1638,1661,世祖,清,,
暦数学者@学者,徐光啓,1562,1633,子先,明,,
政治家@将軍@法家@兵家,商鞅,,前338,姫@公孫@鞅@衛鞅,秦,,
皇族@王@文人,昭明太子,501,531,蕭統,梁,,
政治家@軍人@総統@主席@元首,蒋介石,1887,1975,蒋中正,中華民国,,
武将@戦国大名@大名,織田信長,1534,1582,吉法師@三郎@上総守@上総介@右大将@右府@第六天魔王@大うつけ@赤鬼 神号 建勲 ,日本,,
皇帝,神宗,1048,1085,趙仲鍼@趙頊@体元顕道法古立憲帝徳王功英文烈武欽仁聖孝皇帝@神宗,北宋,,
王,秦檜,1090,1155,会之,南宋,,
