class,instance,evt:starting_time,evt:endint_time,evt:alias,evt:nationality,evt:land_of_origin,evt:ethnic_group
カリフ,ウマル,581頃,644,ウマル・イブン・アル・ハッターブ,イスラム帝国,,
学者@詩人@シャー@スルタン,ウマル・ハイヤーム,1048,1131,,セルジューク朝,,
政治家@軍人@革命家,ウラービー・パシャ,1839,1911,ウラービー@アフマド・オラービー,,エジプト,
使徒@大公,ウラディミル1世,955,1015,,キエフ公国,,
君主@シャー@アミール@君主,ウルグ・ベグ,1394,1449,,ティムール帝国,,
教皇,ウルバヌス2世,1042,1099,ラゲリウスのオド@ウード・ド・シャティヨン,古代ローマ,,
考古学者@学芸員@学者,エヴァンズ,1851,1941,,イギリス,イギリス,
数学者@天文学者@著者,エウクレイデス,前300頃,,,,ギリシア,
歴史家@聖書注釈家@司教@教父,エウセビオス,260頃,339,エウセウィ,,パレスティナ,
詩人,エウリピデス,前485頃,前406頃,,アテネ,,
政治家@党首@大統領,エーベルト,1871,1925,,ドイツ共和国,ドイツ,
君主@女帝@大王,エカチェリーナ2世,1729,1796,エカテリーナ@カタリーナ,ロシア帝国,,
貴族@皇帝@ハーン,エセン・ハン,,1454,エセタイシ@也先@エセン・ハーン,,モンゴル,
発明家@企業家,エディソン,1847,1931,エジソン,アメリカ合衆国,,
王,エドワード1世,1239,1307,,,イングランド,
皇帝@王,エドワード3世,1312,1377,,,イギリス,
王,エドワード6世,1537,1557,,,イギリス,
哲学者@皇帝,エピクテトス,55頃,135頃,,古代ローマ,,
哲学者@始祖,エピクロス,前342,前271,,,ギリシア,
神学者@哲学者@人文主義者@司教@司祭@教皇,エラスムス,1469頃,1536,,,イタリア,
学者,エラトステネス,前275,前194,,,ギリシア,
国王@作家@王@女王,エリザベス1世,1533,1603,処女王@グロリアーナ,,イギリス,
君主@女王@元首,エリザベス2世,1926,,エリザベス女王@エリザベス・アレクサンドラ・メアリー ,イギリス,イギリス,
政治家@大統領,エリツィン,1931,2007,,ロシア,,
画家,エル・グレコ,1541頃,1614,,,スペイン,
経済学者@革命家@思想家@ジャーナリスト,エンゲルス,1820,1895,,,ドイツ,
探検事業家,エンリケ,1394,1460,エンリケ航海王子@ヘンリー航海王子,ポルトガル,,
詩人,オヴィディウス,前43,17頃,オウィディウス,古代ローマ,,
作家@ジャーナリスト,オーウェル,1903,1950,エリック・アーサー・ブレア,イギリス,イギリス,
政治家,オースティン・チェンバレン,1863,1937,,イギリス,イギリス,
皇帝@元首,オクタヴィアヌス,前63,14,アウグストゥス@オクタウィアヌス,古代ローマ,,
皇帝@ハーン@君主,オゴタイ・ハン,1186,1241,オゴデイ・カアン,,モンゴル,
民族運動家@政治家,オコンネル,1775,1847,,,アイルランド,
皇帝@国王,オットー1世,912,973,オットー大帝,東フランク,,
軍人@皇帝@王@隊長,オドアケル,434頃,493,,西ローマ帝国,,
君主@総督,オラニエ公ウイレム,1533,1584,ウィレム1世,ネーデルランド連邦共和国,,
大統領@牧師,カーター,1924,,,アメリカ合衆国,,
牧師@実業家@発明家,カートライト,1743,1823,,イギリス,イギリス,
劇作家@詩人@作家,カーリダーサ,5世紀頃,,,グプタ朝,,
宮宰,カール・マルテル,689,741,,フランク王国,,
政治家,カール・リープクネヒト,1871,1919,,,ドイツ,
王@君主@皇帝@文人@教皇,カール4世,1316,1378,シャルル,神聖ローマ帝国,ドイツ,
皇帝@国王@君主,カール5世,1500,1558,カルロス1世,神聖ローマ帝国,,
