class,instance,starting_time,time_e,alias,author,youshiki
物語@小説,西遊記,16世紀,,,呉承恩,
政治書@経済書@法書,西洋の没落,1918-1922,,,,
戯曲@演劇,西廂記,,,,王実甫,
科学書,斉民要術,532-549,,,賈思勰,
歴史書,戦国策,,,,,
物語@小説,戦争と平和,1869,,,トルストイ,
政治書@経済書@法書,戦争と平和の法,1625,,,グロティウス,
詩,楚辞,,,,屈原@宋玉@賈誼@王褒@劉向,
宗教書@教典,創世記,,,,モーセ,
歴史書,対比列伝,,,英雄伝@プルターク英雄伝,プルタルコス,
哲学書@神学書,対話篇,,,,プラトン,
哲学書@神学書,大学,,,,,
宗教書@教典,大蔵経,,,一切経,,
歴史書,大唐西域記,646,,,玄奘,
政治書@経済書@法書,第三身分とは何か,1789,,第三階級とは何か,シェイエス,
科学書,地理誌,,,,ストラボン,
哲学書@神学書,中庸,,,,孔子,
政治書@経済書@法書,帝国主義論,1917,,資本主義の最高の段階としての帝国主義@平易な概説,レーニン,
政治書@経済書@法書,帝政論,,,,ダンテ,
哲学書@神学書,哲学書簡,1734,,,ヴォルテール,
科学書,天工開物,1637,,,宋応星,
科学書,天文学大全,,,,プトレマイオス,
物語@小説,天路歴程,1678-1684,,,バンヤン,
伝記@自伝,東京夢華録,,,,孟元老,
旅行記,東方見聞録,1299頃,,世界の記述,マルコ・ポーロ,
歴史書,南海寄帰内法伝,,,,義浄,
旅行記,入唐求法巡礼行記,9世紀頃,,,円仁,
歴史書,年代記,3-4@14-16,,,エウセビオス@タキトゥス,
科学書@農書,農政全書,1639,,,徐光啓,
科学書,博物誌,15世紀,,,プリニウス,
哲学書@神学書,判断力批判,1790,,第三批判,カント,
戯曲@演劇,琵琶記,,,,高則誠,
科学書,百科全書,1751-1772,,,ダランベール@ディドロ,
歴史書,仏国記,,,法顕伝,法顕,
科学書,方法序説,1637,,,デカルト,
政治書@経済書@法書,法の精神,1748,,,モンテスキュー,
歴史書,本紀,,,高祖本紀@秦始皇本紀,,
科学書,本草綱目,1596,,,李時珍,
哲学書@神学書,孟子,,,,孟子,
哲学書@神学書,礼記,,,,戴聖,
詩,労働と日々,前700頃,,仕事と日々,ヘシオドス,
哲学書@神学書,論語,,,倫語@輪語@円珠経,,
政治書@経済書@法書,和蘭風説書,1840,,,,
物語@小説,聊斎志異,,,,蒲松齢,
絵画,オルガース伯の埋葬,1588,,オルガス伯の埋葬,エル・グレコ,
絵画,桃鳩図,1107頃,,,徽宗,院体画
絵画,ひまわり,1888,,,ゴッホ,後期印象派
絵画,裸のマハ,1797-1800,,,ゴヤ,
絵画,聖フランシスコの生涯,,,聖フランチェスコの生涯,ジョット,
絵画,水浴,,,,セザンヌ,後期印象派
絵画,ナポリの午後,,,,セザンヌ,後期印象派
絵画,ナポレオンの戴冠式,,,,ダヴィッド,
絵画,四使徒,,,四人の使徒,デューラー,
絵画,踊り子,,,,ドガ,
絵画,キオス島の虐殺,1824,,シオの虐殺,ドラクロワ,
絵画,民衆を導く自由の女神,1830,,,ドラクロワ,
絵画,百姓の踊り,,,,ブリューゲル,
絵画,ラス・メニナス,1656,,ラス・メニーナス,ベラスケス,
絵画,ビーナスの誕生,1483頃,,ヴィーナスの誕生,ボッティチェリ,
絵画,春,1482頃,,プリマヴェーラ,ボッティチェリ,
絵画,ヘンリ8世像,,,,ホルバイン,
絵画,天地創造,,,,ミケランジェロ,
絵画,最後の審判,1541,,,ミケランジェロ,
絵画,落穂拾い,1857,,,ミレー,自然主義
絵画,晩鐘,1857,,,ミレー,自然主義
絵画,睡蓮,1920-1926,,,モネ,
絵画,マリア・メディチの生涯,1625,,マリー・ド・メディシスの生涯,ルーベンス,
絵画,浴女たち,1887頃,,,ルノワール,印象派
