class,instance,time_s,time_e,evt:alias,territory,founder,capital,upper_organization
国家@国@王朝,西ドイツ,1949/05/23,1990/10/03,ドイツ連邦共和国,ドイツ西部@ドイツ南部,,ボン,
国家@国@王朝,ニュージーランド,1907,,,ニュージーランド,,ウェリントン,
国家@国@王朝,ネーデルラント王国,1830,,ネーデルラント@オランダ,オランダ,,アムステルダム,オランダ王国
国家@国@王朝,ネーデルラント連邦共和国,1581,1795,オランダ,オランダ@ベルギー北部,,ハーグ,
国家@国@王朝,ノヴゴロド国,862,,ノヴゴロド公国,,リューリク,ノヴゴロド,
国家@国@王朝,ノルウェー王国,9世紀末,,ノルウェー,ノルウェー,,オスロ,
国家@国@王朝,ノルマンディー公国,911,,,セーヌ川下流域,ロロ,,
国家@国@王朝,ノルマン朝,1066,1154,,イングランド,,,イングランド王国
国家@国@王朝,バーレーン,1971,,バーレーン王国,バーレーン,,マナーマ,
国家@国@王朝,パーンディヤ朝,前3世紀,14世紀,,インド南部,,,
国家@国@王朝,ハイティ,1804,,ハイチ共和国@ハイチ,,,ポルトープランス,
国家@国@王朝,パガン王国,1044,1299,パガン朝@建寺王朝,ミャンマー,,パガン,
国家@国@王朝,パキスタン,1947,,パキスタン・イスラム共和国,パキスタン,,イスラマバード,
国家@国@王朝,バクトリア王国,前255頃,前139,グレコ・バクトリア王国,アム川流域,,バクトラ,
国家@国@王朝,ハザール,7世紀,10世紀,ハザル@ハザリア@ホザール@カザール,,,イティル,
国家@国@王朝,パッラヴァ朝,3世紀後半,9世紀末,,,,,
国家@国@王朝,パナマ,1903,,パナマ共和国,パナマ,,パナマ市,
国家@国@王朝,ハノーヴァー朝,1714,1917,,イギリス,,,イギリス
国家@国@王朝,バビロン第１王朝,前1894頃,前1595頃,古バビロニア王国,メソポタミア,,バビロン,
国家@国@王朝,パフレヴィー朝,1925,1979,パフラヴィー朝@パーレビ朝,,,テヘラン,
国家@国@王朝,ハンガリー,1918,,,ハンガリー,,ブダペスト,
国家@国@王朝,ハンガリー王国,10世紀末, ,,,,,
国家@国@王朝,バングラデシュ,1971,,バングラデシュ人民共和国,バングラデシュ,,ダッカ,
国家@国@王朝,バンコク朝,1782,,ラタナコーシン（バンコク）朝@チャクリー王朝,タイ,ラーマ1世,バンコク,
国家@国@王朝,バンテン王国,1527頃,1813,,ジャワ島西部,,,
国家@国@王朝,ヒヴァ・ハン国,1512,1920,ヒヴァ・ハン国,アム川下流域,,ヒヴァ,
国家@国@王朝,ヒジャーズ王国,1916,1932,,ヒジャーズ,,メッカ,
国家@国@王朝,ヒッタイト王国,前17世紀半ば,前12世紀初頭,ヒッタイト,アナトリア半島,,ハットゥシャ,
国家@国@王朝,ビルマ,,1989,,ミャンマー,,,
国家@国@王朝,ファーティマ朝,909,1171,,,,カイロ,
国家@国@王朝,フィリピン,1898,,フィリピン共和国,フィリピン,,マニラ市,
国家@国@王朝,フィンランド,1917/12/01,,フィンランド共和国,フィンランド,,ヘルシンキ,
国家@国@王朝,プエルトリコ,,,,,,,
国家@国@王朝,ブガンダ王国,17世紀,1894,ブガンダ,ウガンダ,,,
国家@国@王朝,プトレマイオス朝エジプト,前304,前30,プトレマイオス朝,,プトレマイオス,アレクサンドリア,
国家@国@王朝,ブハラ・ハン国,1505,1920,ボハラ・ハン国,,,ブハラ,
国家@国@王朝,ブラジル,1822,,ブラジル連邦共和国,ブラジル,,,
国家@国@王朝,フランク王国,481,987,,ドイツ@フランス@イタリア@スイス@オランダ@ベルギー@ルクセンブルク,,,
国家@国@王朝,フランス王国,987,1814,,フランス,,パリ,
国家@国@王朝,フランス,1958,,フランス共和国,フランス,,パリ,
国家@国@王朝,プランタジネット朝,1154,1399,アンジュー朝,イングランド,,,イングランド王国
国家@国@王朝,ブルガリア,,,,ブルガリア,,ソフィア,
国家@国@王朝,ブルガリア王国,681,,ブルガリア帝国,ブルガリア,,,
国家@国@王朝,ブルボン朝,1589@1814,1792@1830,,フランス,,,フランス王国
国家@国@王朝,プロイセン王国,1701,1918,,ドイツ北部@ポーランド西部,,ベルリン,
国家@国@王朝,プロイセン公国,1525,1618,プロシア公領,東プロイセン,,ケーニヒスベルク,
国家@国@王朝,ブワイフ朝,932,1062,,イラン@イラク,,シーラーズ,
国家@国@王朝,ペグー王国,1287,1539,ペグー王朝,イラワディ川流域,,ペグー,
国家@国@王朝,ベニン,13世紀,17世紀,ベニン王国,ナイジェリア,,イレ・イビヌ,
国家@国@王朝,ベラルーシ,,,白ロシア,ベラルーシ,,ミンスク,
国家@国@王朝,ペルー,,,,ペルー,,リマ,
国家@国@王朝,ペルガモン,前3世紀,前2世紀,,,,,
国家@国@王朝,ベルギー王国,1830,,ベルギー,ベルギー,,ブリュッセル,
国家@国@王朝,ペルシア帝国,,,ペルシア,イラン,,,
国家@国@王朝,ポーランド,1918,,ポーランド共和国,ポーランド,,ワルシャワ,
国家@国@王朝,北山王国,14世紀初頭,1416,山北,今帰仁村,今帰仁按司,今帰仁,
国家@国@王朝,ボスニア・ヘルツェゴヴィナ,,,ボスニア・ヘルツェゴビナ,ボスニア・ヘルツェゴヴィナ,,サラエヴォ,
国家@国@王朝,ボヘミア王国,1198,1918,ベーメン@ボヘミア@ベーメン王国,ボヘミア,,,
国家@国@王朝,ホラズム王国,1077,1231,ホラズム・シャー朝,アム川下流域,,クフナ・ウルゲンチ@サマルカンド,
国家@国@王朝,ポルトガル,,,ポルトガル共和国,ポルトガル,,リスボン,
国家@国@王朝,マイソール王国,1399,1947,,インド南部,,マイソール@シュリーランガパッタナ,
国家@国@王朝,マウリヤ朝,前317頃,前180頃,,インド亜大陸,,パータリプトラ,
国家@国@王朝,マガダ国,前6世紀,,,ガンジス川中流域,,パータリプトラ,
国家@国@王朝,マケドニア,,,,バルカン半島中央部,,,
国家@国@王朝,マジャパヒト王国,1293,1520頃,マジャパイト王国,ジャワ島東部,,,
国家@国@王朝,マタラム王国,16世紀末,1755,,ジャワ島東部,,,
国家@国@王朝,マムルーク朝,1250,1517,,エジプト@シリア,,カイロ,
国家@国@王朝,マラータ王国,17世紀半ば,1818,マラーター同盟,デカン高原,,ラーイガル@プネー,
国家@国@王朝,マラッカ王国,14世紀末,1511,ムラカ王国,マレー半島南岸,,マラッカ,
国家@国@王朝,マラヤ連邦,1948,1963,,マレー半島,,,
国家@国@王朝,マリ,1960,,マリ共和国,マリ,,,
国家@国@王朝,マリ王国,1240,1473,,ニジェール川上流域@スーダン西部,,,
国家@国@王朝,マレーシア,1963/09/01,,マレーシア連邦,マレーシア,,クアラルンプール,
国家@国@王朝,マロロス共和国,1899/1/21,1901/03/23,フィリピン第一共和国,フィリピン,,マロロス市,
国家@国@王朝,ミタンニ,前16世紀,,,メソポタミア北部@シリア,,,
国家@国@王朝,南アフリカ共和国,1910,,南アフリカ,南アフリカ共和国,,ヨハネスブルグ,
国家@国@王朝,ミャンマー,,,ミャンマー連邦共和国@ビルマ,ミャンマー,,ネピドー,
国家@国@王朝,ムガル帝国,1526,1858,ムガル@ムガル朝,インド,バーブル,デリー@アグラ@ファテープル・シークリー@ラホール,
国家@国@王朝,ムハンマド・アリー朝,1805,1952,,エジプト,ムハンマド・アリー,,
国家@国@王朝,ムラービト朝,1056,1147,,サハラ砂漠西部,,マラケシュ@コルドバ,
国家@国@王朝,ムワッヒド朝,1130,1269,,北アフリカ@イベリア半島南部,,マラケシュ,
国家@国@王朝,メキシコ,1821,,メキシコ合衆国,メキシコ,,メキシコシティ,
国家@国@王朝,メディア王国,前8世紀末,前550,,イラン北西部,,エクバタナ,
国家@国@王朝,メロヴィング朝,,,,ドイツ@フランス@イタリア@スイス@オランダ@ベルギー@ルクセンブルク,,,
国家@国@王朝,モスクワ大公国,14世紀,16世紀,,モスクワ,,モスクワ,
国家@国@王朝,モノモタパ王国,11世紀,19世紀,,ザンベジ川流域,,,
国家@国@王朝,モラヴィア王国,9世紀,10世紀初頭,,モラヴィア@スロバキア,,,
国家@国@王朝,モルドヴァ,,,,モルドバ,,キシナウ,
国家@国@王朝,モロッコ,,,モロッコ王国,モロッコ,,ラバト,
国家@国@王朝,モンゴル国,1911,,モンゴル,モンゴル,,ウランバートル,
国家@国@王朝,モンゴル人民共和国,1924,1992,,モンゴル,,ウランバートル,モンゴル国
国家@国@王朝,モンゴル帝国,1206,1271,蒙古帝国,モンゴル高原@中国,,カラコルム,
国家@国@王朝,モンテネグロ,2006,,,モンテネグロ,,ポドゴリツァ,
国家@国@王朝,ヤゲウォ朝,1386,1572,ヤゲロー朝@ヤゲウォ朝リトアニア,ポーランド,ヤゲウォ,クラクフ,
国家@国@王朝,ユーゴスラヴィア,1918,2003,ユーゴ@ユーゴスラビア,バルカン半島西部,,,
国家@国@王朝,ユーゴスラヴィア王国,1918,1943,ユーゴスラビア王国,バルカン半島西部,,ベオグラード,
国家@国@王朝,ユダ王国,前922頃,前586,,イスラエル,,エルサレム,
国家@国@王朝,ヨルダン,1946,,ヨルダン・ハシミテ王国,ヨルダン,,アンマン,
国家@国@王朝,ラガシュ,,,,メソポタミア,,,
国家@国@王朝,ラテン帝国,1204,1261,ロマニア帝国,コンスタンティノープル,,,
国家@国@王朝,ランゴバルド王国,568,774,,イタリア,,パヴィア,
国家@国@王朝,李氏朝鮮,1392,1910,朝鮮国@李朝@朝鮮,朝鮮半島,,漢城,
国家@国@王朝,リディア,前7世紀,前546,,アナトリア半島,,サルディス,
国家@国@王朝,リトアニア－ポーランド王国,,,,,,,
国家@国@王朝,リビア,1912,,,リビア,,トリポリ,
国家@国@王朝,リベリア,1847,,,リベリア,,モンロビア,
国家@国@王朝,ルアンプラバーン王国,1707,1946,,ラオス,,ルアンプラバン,
国家@国@王朝,ルーマニア,,,,ルーマニア,,ブカレスト,
国家@国@王朝,ルーム・セルジューク朝,1077,1308,,アナトリア半島,,ニケーア@イコニウム,
国家@国@王朝,レバノン,1943/11/22,,レバノン共和国,レバノン,,ベイルート,
国家@国@王朝,ローマ共和国,1849/2,1849/7,,,,,
国家@国@王朝,ローマ帝国,前27,1453,ローマ@古代ローマ,,,ローマ@コンスタンティノープル@ニカイア@メディオラヌム@ラヴェンナ,古代ローマ
国家@国@王朝,ロシア,1991,,ロシア連邦@ロシア共和国,ロシア,,モスクワ,
国家@国@王朝,ロシア・ツァーリ国,1547,1721,,ロシア,,モスクワ,
国家@国@王朝,ロシア帝国,1721,1917,帝政ロシア,ロシア@フィンランド@リトアニア@ベラルーシ@ウクライナ@ ポーランド@コーカサス@中央アジア@シベリア@満州,,サンクトペテルブルク@モスクワ@ペトログラード,
国家@国@王朝,ロディー朝,1451,1526,,インド北部,,デリー@アグラ,
国家@国@王朝,ロマノフ朝,1613,1917,,ロシア,,,ロシア帝国
国家@国@王朝,烏孫,前161,5世紀,,キルギス,,,
国家@国@王朝,衛氏朝鮮,前190頃,前108,,朝鮮半島,衛満,,
国家@国@王朝,越南,1802,1887,ベトナム,ヴェトナム,,ユエ,
国家@国@王朝,燕,前1100頃,前222,,,,薊,
国家@国@王朝,伽耶,3世紀,6世紀半ば,加羅@加耶@任那,,,,
国家@国@王朝,加羅諸国,,,,,,,
国家@国@王朝,漢,前202,220,漢王朝@漢帝国,,,,
国家@国@王朝,韓,前403,前225,,,,,
国家@国@王朝,亀茲国,,,亀茲,タリム盆地北部,,,
国家@国@王朝,金,1115,1234,,中国東北部,,,
国家@国@王朝,月氏,前3世紀,1世紀,,中央アジア,,,
国家@国@王朝,建州女真,,,,,,,
国家@国@王朝,元,1271,1368,元朝@大元ウルス@大モンゴルウルス,中国@モンゴル高原,フビライ・ハン,大都,
国家@国@王朝,古マタラム,8世紀,9世紀,古マタラム王国,ジャワ島中部,,,
国家@国@王朝,胡朝,1400,1407,,,,タインホア,
国家@国@王朝,呉,222,280,,長江流域,孫権,建業,
国家@国@王朝,後ウマイヤ朝,756,1031,,イベリア半島,,コルドバ,
国家@国@王朝,後漢,25,220,,,劉秀,洛陽,
国家@国@王朝,後金,1616,1636,,,ヌルハチ,瀋陽,
国家@国@王朝,後周,951,960,,,郭威（太祖）,開封,
国家@国@王朝,後晋,936,946,,,石敬瑭,開封,
国家@国@王朝,後唐,923,936,,,李存勗,洛陽,
国家@国@王朝,後梁,907,923,,,李全忠,汴州,
国家@国@王朝,後蜀,,,,四川省,,,
国家@国@王朝,広南王国,,,クアンナム朝,ヴェトナム南部,,,
国家@国@王朝,高句麗,前1世紀,668,,中国東北部南部@朝鮮半島北部,,,
国家@国@王朝,高麗,918,1392,高麗王国,朝鮮半島,王建,開城,
国家@国@王朝,三仏斉,10世紀初頭,15世紀初頭,,,,,
国家@国@王朝,邪馬台国,,3世紀,,日本列島,,,
国家@国@王朝,周,前11世紀,前256,周王朝,華北,,,
国家@国@王朝,柔然,5世紀,6世紀,,モンゴル高原,,,
国家@国@王朝,商,前17世紀,前1046,商朝@殷@商殷,,,殷墟@朝歌,
国家@国@王朝,新,8,23,新王朝,,王莽,長安,
国家@国@王朝,新バビロニア,前625,前538,新バビロニア王国@カルデア,メソポタミア@シリア@パレスティナ,ナボポラッサル,バビロン,
国家@国@王朝,新羅,4世紀半ば,935,,朝鮮半島南東部,,慶州,
国家@国@王朝,晋,265,420,,中国,司馬炎,洛陽,
国家@国@王朝,真臘,6世紀,15世紀,カンボジア,メコン川中流域,,シュレシュトハプラ@バーヴァプラ@イシャーナプ,
国家@国@王朝,神聖ローマ帝国,962,1806,,ドイツ@オーストリア@チェコ@北イタリア,,ウィーン@レーゲンスブルク@プラハ,
国家@国@王朝,秦,前8世紀,前206,秦王朝@清帝国,中国,,咸陽,
国家@国@王朝,水真臘,706,802,,カンボジア南部,,,
国家@国@王朝,清,1616,1912,清国@清朝@清帝国,中国@モンゴル,,盛京@北京,
国家@国@王朝,西ゴート王国,418,711,,フランス南部@イベリア半島,,トロサ@メリダ@トレド,
国家@国@王朝,西フランク,843,987,西フランク王国,フランス,,パリ,
国家@国@王朝,西ローマ帝国,395,476,,,,ミラノ@ラベンナ,
国家@国@王朝,西夏,1038,1227,大夏,中国西北部,李元昊,興慶,
国家@国@王朝,西晋,265,316,晋,,司馬炎,洛陽,
国家@国@王朝,西突厥,583,7世紀末,,中央アジア,,,
国家@国@王朝,西魏,535,556,,,,長安,
国家@国@王朝,斉,前386,前221,,,田氏,臨淄,
国家@国@王朝,鮮卑,前209,,,モンゴル,,,
国家@国@王朝,前漢,前202,8,,,劉邦,長安,
国家@国@王朝,楚,,前223,,長江中流域,,丹陽,
国家@国@王朝,宋,960,1279,宋王朝@宋朝,中国,趙匡胤,汴京@臨安,
国家@国@王朝,太平天国,1851,1864,,,,,
国家@国@王朝,大越,1009,1225,大越国@ダイベト国@李朝,,李公蘊,昇竜,
国家@国@王朝,大韓帝国,1897,1910,,朝鮮半島,,漢城府,
国家@国@王朝,大韓民国,1948/08/01,,韓国,韓国,,ソウル,
国家@国@王朝,大月氏,前3世紀,1世紀,,中央アジア,,,
国家@国@王朝,大秦国,,,大秦,,,,
国家@国@王朝,大理国,937,1254,,雲南省,段思平,大理,
国家@国@王朝,辰韓,前2世紀末,4世紀,,朝鮮半島南東部,,,
国家@国@王朝,中華人民共和国,1949/10/01,,中国,中国,,北京,
国家@国@王朝,中華帝国,1915,1916,,中国,,北京,
国家@国@王朝,中華民国,1912,,,台湾,,台北,
国家@国@王朝,中山王国,1314頃,1429頃,中山,沖縄,,浦添,
国家@国@王朝,丁朝,,,,ヴェトナム北部,,華閭,
国家@国@王朝,朝鮮民主主義人民共和国,1948/09/01,,北朝鮮,朝鮮半島北部,,平壌,
国家@国@王朝,陳,557,589,,江南,陳覇先,建康,
国家@国@王朝,陳朝,1225,1400,,ヴェトナム北部,,昇龍,
国家@国@王朝,鄭氏台湾,1661,1683,,台湾,,,
国家@国@王朝,吐蕃,7世紀,9世紀,,チベット高原,,ラサ,
国家@国@王朝,奴国,1世紀,3世紀前半,,,,,
国家@国@王朝,奴隷王朝,1206,1290,マムルーク・スルタン国,インド北部,,デリー,
国家@国@王朝,唐,618,907,唐王朝@唐朝@唐帝国@大唐帝国,中国,李淵,長安,
国家@国@王朝,東ゴート王国,493,555,,イタリア,テオドリック,ラヴェンナ,
国家@国@王朝,東ティモール民主共和国,,,東ティモール,ティモール島東部,,ディリ,
国家@国@王朝,東フランク,843,911,東フランク王国,,,,
国家@国@王朝,東ローマ帝国,395,1453,東ローマ@ビザンツ帝国,,,コンスタンティノープル,
国家@国@王朝,東周,前770,前256または前249,,,,,
国家@国@王朝,東晋,317,420,,江南,司馬睿,建康,
国家@国@王朝,東突厥,583,744,,モンゴル高原東部,,ウテュケン山,
国家@国@王朝,東魏,534,550,,,,鄴,
国家@国@王朝,突厥,552,744,,中央アジア,,ウテュケン山,
国家@国@王朝,南アフリカ連邦,1910,1961,,南アフリカ,,,
国家@国@王朝,南越,前203,前111,南越国@南粤@趙朝,,趙陀,番禺,
国家@国@王朝,南山王国,14世紀初頭,1429,山南,沖縄,承察度,,
国家@国@王朝,南詔,,902,,雲南省,,,
国家@国@王朝,南宋,1127,1279,,華南,,臨安,
国家@国@王朝,南朝,420,589,,,,建康,
国家@国@王朝,日本,,,,日本,,東京都,
国家@国@王朝,馬韓,,,,朝鮮半島南部,,,
国家@国@王朝,百済,4世紀半ば,660,,朝鮮半島南西部,,漢城,
国家@国@王朝,扶南,1世紀,2世紀,,メコン川下流域,,コンポントム,
国家@国@王朝,弁韓,前2世紀末,4世紀,弁辰,朝鮮半島南部,,,
国家@国@王朝,北ドイツ連邦,1867,1871,,,,ベルリン,
国家@国@王朝,北元,1371,1388,,モンゴル高原,,,
国家@国@王朝,北周,556,581,,,宇文覚,長安,
国家@国@王朝,北斉,550,577,,,高洋,鄴,
国家@国@王朝,北宋,960,1127,,,趙匡胤,開封,
国家@国@王朝,北朝,439,581,,,,,
国家@国@王朝,北魏,386,534,,華北,拓跋珪,平城,
国家@国@王朝,明,1368,1644,明朝@明帝国,中国,朱元璋,南京@北京,
国家@国@王朝,陸真臘,706,802,,カンボジア北部,,,
国家@国@王朝,琉球王国,14世紀後半,,琉球,奄美群島@沖縄諸島@先島諸島,,首里,
国家@国@王朝,梁,502,557,,江南,蕭衍,建康,
国家@国@王朝,遼,916,1125,,満州@モンゴル高原東部,耶律阿保機,上京臨潢府,
国家@国@王朝,魯国,前1055,前249,魯,,,,
国家@国@王朝,倭,,,倭奴国,日本,,,
国家@国@王朝,匈奴,前4世紀末,1世紀,,モンゴル高原,,ノイン・ウラ、代郡,
国家@国@王朝,殷,前16世紀,前11世紀,,中国,,殷墟@朝歌,
国家@国@王朝,渤海国,698,926,渤海@海東の盛国,満洲@朝鮮半島北部@沿海地方,大祚栄,上京竜泉府,
国家@国@王朝,隋,581,618,隋王朝,中国,楊堅,興城,
国家@国@王朝,蜀,221,263,蜀漢,四川省@湖北省,劉備,成都,
国家@国@王朝,趙,前403,前222,,,,邯鄲,
国家@国@王朝,阮朝,1802,1945,,ヴェトナム,,富春,
国家@国@王朝,魏,220,265,魏王朝@魏,華北,,洛陽,
国家@国@王朝,黎朝,1532,1789,黎朝大越国,ヴェトナム,黎利,ハノイ,
国家@国@王朝,フランス第一帝政,1804,1815,フランス帝国,フランス,ナポレオン・ボナパルト,パリ,
国家@国@王朝,フランス第二帝政,1852,1870,フランス帝国,フランス,ナポレオン3世,パリ,
国家@国@王朝,ドイツ騎士団領,1224,1525,ドイツ騎士団国,,,,
国家@国@王朝,ソマリランド,1991,,ソマリランド共和国,,,,
植民地,フランス領インドシナ連邦,1887,1954,フランス領インドシナ,,,,
都市@市,マカオ,1557,,,,,,
行政区画,楽浪郡,,,,,,,
行政区画,玄菟郡,,,,,,,
行政区画,真番郡,,,,,,,
行政区画,帯方郡,,313,,,,,
行政区画,南海郡,,,,,,,
行政区画,日南郡,前111,,,,ヴェトナム,,
丘@城塞,アクロポリス,,,,,,,
国家@国,都市@市国家,,,,,,,
国家@国,世界帝国,,,,,,,
国家@国@王国,クレタ王国,,前1400,,,,,
国家@国@都市@市,ポリス,,,,,,,
市@植民市,ビザンティオン,,,,,,,
市@植民市,マッサリア,,,,,,,
市@植民市,ネアポリス,,,,,,,
市@植民市,シラクサ,,,,,,,
市@植民市,ニカイア,,,,,,,
市@植民市,タレントゥム,,,,,,,
州,属州,,,,,,,
集落,トリニール,,,,北京@周口店,,,
集落@行政単位,ノモス,,,,,,,
大陸,旧大陸,,,,,,,
地方,ファールス地方,,,,,,,
都市@市,ギザ,,,,,,,
都市@市,カデシュ,,,,シリア,,,
都市@市,ウガリト,,,,シリア,,,
都市@市,アッシュル,,,,,,,
都市@市,サルデス,,,,,,,
広場,アゴラ,,,,,,,
地域,カナーン,,,,,,,
王朝@国家@国,バビロン第3王朝,,,,,,,
王朝@国家@国,末期王朝,,,,,,,
王朝@国家@国@王国,古王国,前27世紀,前22世紀,,メンフィス,,,
王朝@国家@国@王国,中王国,前21世紀,前18世紀,,,,,
王朝@国家@国@王国,新王国,前1567,前1085,,テーベ,,,
都市@市,ミレトス,,,,イオニア植民市,,,
都市@市,コリトス,,,コリント,ペロポネソス半島,,,
山@銀山,ラウレイオン,,,,アテネ,,,
国@国家,サムドラ・パサイ,,,,スマトラ島,,,,
国@国家,古マラタム国,8世紀頃,,,ジャワ島,,,,
国@総称,戦国の七雄,,,,斉@楚@燕@韓@魏@趙@秦,,,,
都市@市,カナウジ,,,,ヴァルダナ朝,,,,
都市@市,臨淄,,,,斉,,,,
王国@王朝@国家@国,シリア王国,前312,前63,,セレウキア@アンティオキア,,,,
王国@王朝@国家@国,マケドニア王国,前306,前168,,,,,,
王国@王朝@国家@国,ペルガモン王国アッタロス朝,前241,前133,,ペルガモン,,,,
王国@王朝@国家@国,プラティーハーラ王国,800頃,1019,,ラージプート,カナウジ,,,
王国@王朝@国家@国,チャンデーラ王国,10世紀,11世紀,,ラージプート,,,,
王国@王朝@国家@国,チャーハマーナ王国,10世紀末,1192,,ラージプート,,,,
王朝,ハスモン朝,前166,前63,,シリア,,,,
王朝,ナンダ朝,前4世紀後半,,,マガタ国,,,,
王朝,ヴァーカータカ朝,3世紀後半,6世紀,,,,,,
王朝,パーラ朝,750頃,1155頃,,ベンガル地方,,,,
王朝,パーンディア朝,前3世紀,14世紀,,南インド,,,,
王朝,チェーラ朝,前3世紀,3世紀頃,,南インド,,,,
河川,渭水,,,,黄河,,,,
河川@川,ティベル川,,,,,,,,
国家@国@王朝,西周,前11世紀,前770,,鎬京,,,,
国家@王朝@国,カリンガ国,前4世紀,,,,,,,
村@区画,ナザレ,,,,ユダヤ,,,,
場所,フォルム,,,,ローマ市,,,,
地方,シンド地方,,,,パキスタン,,,,
地方,アンコール地方,,,,,,,,
町,サールナート,,,,ベナレス,,,,
都市@市,パルミラ,,,,シリア@メソポタミア,,,,
都市@市,コリントス,,,コリント,ペロポネソス半島,,,,
都市@市,プルシャプラ,,,,クシャーナ朝,,,,
都市@市,マトゥラー,,,,デリー,,,,
都市@市@遺跡,ロータル,,,,インダス文明,,,,
都市@市@遺跡,ドーラヴィーラー,,,ドーラビーラ,インダス文明,,,,
都市@市@国家,ローマ,前753,,,,,,,
民族@国家,ピュー,8世紀頃,,驃,,,,,
遺跡@村,ティアワナコ,,,,,,,
王朝,ヤマト政権,4世紀頃,7世紀,大和政権,日本,,,
王朝,周,690,705,武周,則天武后,,,
王朝@国家@総称,拓跋国家,,,,中国,,,
王朝@国家@総称,六朝,,,,呉@東晋@宋@斉@梁@陳,,,
王朝@国家@総称,五代,907,960,,後梁@後唐@後晋@後漢@後周,,,
王朝@国家@総称,五代十国,907,979,,五大@前蜀@後蜀@呉@南唐@呉越@閩@荊南@楚@南漢@北漢,,,
行政区画@郡,臨屯郡,前108,前82,,前漢,,,
行政区画@郡,真番郡,前108,前82,,前漢,,,
行政区画@郡,玄菟郡,前108,4世紀初,,前漢,,,
国,前趙,304,329,劉趙@漢趙国,,,,
国,前秦,351,394,,長安,華北,苻健,
国,夫余,前1世紀,494,扶余,貊族,中国東北地方,,
国@総称,五胡十六国,304,439,,五胡@漢人,,,
国家@国@王国,吐谷渾,4世紀,7世紀,,青海紀省,,,
市場,草市,,,,唐,,,
総称@行政区画@郡,朝鮮4郡,,,,楽浪@真番@臨屯@玄菟,前漢,,
都市@市,マチュ・ピチュ,,,マチュピチュ,インカ帝国,,,
都市@市,丸都城,,,国内城,高句麗,,,
都市@市,ラサ,,,,吐蕃,ヤルツァンポ川支流沿岸,,
都市@市,上京竜泉府,,,,渤海,,,
都市@市,平城京,,,,奈良,,,
都市@市,汴州,,,開封,後梁,,,
都市@市@総称,鎮,,,,宋,,,
地域,大宛,,,フェルガナ,中央アジア,,,
地帯,河西回廊,,,甘粛回廊,甘粛省,,,
帝国,チムー帝国,12世紀,15世紀,,,,,
俗称@国,倭,,,,日本,中国,,
国家@総称,遊牧国家,,,,,,,,
都市,ベラサグン,,,フス・オルダ,西遼,,,,
都市@総称,オアシス都市,,,,,,,,
砂漠,タクラマカン砂漠,,,,タリム盆地,,,,
山地@山脈,陰山山脈,,,,内モンゴル,,,,
山地@山脈,崑崙山脈,,,,チベット高原,,,,
貿易圏,東アジア貿易圏,,,,南宋@高麗@日本,,,,
