動物,汗血馬,,,,西域,,,
土,黄土,,,,黄河,
隊形,ファランクス,,,,,,
霊長類,人類,,,,,
動物,人類,,,,,
動物,馬,,,,,,
社交場,コーヒー・ハウス,17世紀半ば,18世紀,コーヒーハウス@カフェ,イギリス,
