class,instance,starting_time,ending_time,alias,nationality,land_of_origin,founder,upper_organization,religion
宗教組織@組織@派,カルヴァン派,,,カルビン主義,,,,,
政府@政権,カルデナス政権,1934,1940,,メキシコ,,,,
同盟,カルマル同盟,1397,1523,,,,,,
派閥@党,ギベリン,,,皇帝党,,,,,
軍隊@軍,ギリシア軍,1828,,,ギリシア,,,,
宗教組織@組織@会派,ギリシア正教会,1833,,ギリシャ正教会,,,,,
政党@党@同盟,キリスト教民主同盟,1945,,ドイツキリスト教民主同盟,ドイツ連邦共和国,,,,
団体@結社,クー・クラックス・クラン,1865,,クー・クラックス・クラン,,,,,
団体,グリーンピース,1971,,,,,,,
宗教組織@組織@修道院,クリュニー修道院,,,サン・ピエール・エ・サン・ポール・ド・クリュニー修道院,,フランス,アキテーヌ公ギヨーム1世,,
議会,クリルタイ,,,,,,,,
政府@政権@内閣,クレマンソー内閣,,,,,,,,
警察組織@組織,ゲシュタポ,1933,1945,ゲハイメ・シュターツポリツァイ,,ドイツ,ヘルマン・ゲーリング,,
派閥,ゲルフ,,,ヴェルフ,,,,,
大学,ケンブリッジ大学,1209,,,イギリス,,,,
団体@結社,ゴイセン,1566,,乞食党,オランダ王国,,,,
国際組織@組織@総会,国連総会,1945,,国際連合総会,,,,,
武装勢力@軍閥,コサック,,,,ウクライナ,,,,
宗教組織@組織@会派,コプト教会,,,コプト正教会,,,,,
国際組織@組織,コミンテルン,1919,1943,共産主義インターナショナル,,,レーニン,,
国際組織@組織,コミンフォルム,1947,1956,欧州共産党情報局@共産党国際情報局,,,スターリン@チトー,,
国際組織@組織@会議,コメコン,1949,1991,東欧経済相互援助会議@経済相互援助会議,,,,,
同盟,コリント同盟,,,,,,,,
機関,コルホーズ,,,,ソヴィエト社会主義共和国連邦,,,,
政府@政権@協会,コンゴ国際協会,,,,,,レオポルド2世,,
宗教組織@組織@会派,コンスタンティノープル教会,,,,,,,,
宗教組織@組織@派,サキャ派,,,,,,,,
宗教組織@組織@教団,サヌーシー教団,,,,,,,,
政治団体@結社,サレカット・イスラーム,,,イスラーム同盟,,,,,
大学,サレルノ大学,,,,イタリア,,,,
宗教組織@組織@派,シーア派,,,,,,,,
宗教組織@組織@教団,シク教団,,,シク教,,,ナーナク,,
宗教組織@組織@修道会,シトー修道会,1098,,シトー会,,フランス,,,
派閥@派,ジャコバン派,1789,,,,フランス,,,
政府@政権@内閣,シュトレーゼマン内閣,,,,,,,,
同盟,シュマルカルデン同盟,1530,,,,ドイツ,,,
政府@政権,蒋介石政府,,,,,,,,
宗教組織@組織@会派,シリア教会,,,シリア正教会,,,,,
派閥,ジロンド派,1792,,,,,,,
政党@党,シン・フェイン党,1905,,,アイルランド,,,,
企業@会社,スエズ運河会社,1858,1956,国際スエズ運河会社@万国スエズ運河会社,,,,,
議会,スコットランド議会,1998,,,スコットランド,,,,
学派@派,ストア派,,,,,,ゼノン,,
団体@結社,スパルタクス団,1916,,,,ドイツ,,,
政府@政権,スハルト政権,,,,,,,,
派閥@派,スペイン国王派,,,,,,,,
宗教組織@組織@派,スンナ派,,,スンニー派,,,,,
団体@結社@党,西山党,,,タイソン党,,ヴェトナム,阮文岳@阮文呂@阮文恵,,
軍隊@軍,セルビア軍,,,,,,,,
機関,ソフホーズ,,,,ソヴィエト社会主義共和国連邦,,,,
政党@党,ソ連共産党,,,,ソヴィエト社会主義共和国連邦,,,,
軍隊@軍,ソ連軍,,,ソビエト連邦軍,ソヴィエト社会主義共和国連邦,,,,
団体@結社@党,タキン党,,,主人党,,,,,
武装勢力@軍閥,タリバーン,,,,,,,,
政府@政権,タリバーン政権,,,,,,,,
派閥@派,チェチェン独立派,,,,,,,,
組合@ギルド,ツンフト,,,同職ギルド、ギルド,,,,,
機関@公社,テネシー川流域開発公社,,,,,,,,
同盟,デロス同盟,前478,前404,,,,,,
宗教組織@組織@団,テンプル騎士団,1119,1312,キリストとソロモン神殿の貧しき戦友たち@神殿騎士団@聖堂騎士団,,,,,
国際組織@組織@同盟,ドイツ関税同盟,1833,1834,,,ドイツ,,,
宗教組織@組織@団,ドイツ騎士団,,,,,,,,
政党@党,ドイツ共産党,1918,1956,,,ドイツ,,,
軍隊@軍,ドイツ空軍,,,,,,,,
軍隊@軍,ドイツ軍,,,,,,,,
政党@党,ドイツ社会主義労働者党,1875,,,,ドイツ,,,
政党@党,ドイツ社会民主党,,,,,ドイツ,,,
議会,ドゥーマ,,,,,,,,
政党@党,トーリー党,,,,,,,,
政府@政権,ドプチェク政権,,,,,,,,
宗教組織@組織@修道会,ドミニコ会,1215,,ドミニコ修道会@説教者修道会,,,ドミニクス,,
組織,トルキスタン省,,,,,,,,
軍隊@軍,トルコ軍,,,,トルコ共和国,,,,
機関@教育機関,ドンキン義塾,,,,,,,,
大学,ナーランダー僧院,,,ナーランダー大学,,,,,
政府@政権,ナジ政権,,,,,,,,
政党@党,ナチス,1920,,ナチス党@国家社会主義ドイツ労働者党@国民社会主義ドイツ労働者党,,ドイツ,,,
政府@政権,ナチ政権,1933,1945,,,ドイツ,,,
機関@学院,ニザーミーヤ学院,,,,,,,,
組織,ニューヨーク株式取引所,,,ニューヨーク証券取引所,,,,,
宗教組織@組織@派,ネストリウス派,,,,,,,,
政府@政権,バティスタ独裁政権,,,バティスタ政権,,,,,
政府@政権,バドリオ政権,1943,,,,,,,
政府@政権,パリ・コミューン,1871,1871,,,フランス,,,
宗教組織@組織@派,パリサイ派,,,ファリサイ派,,,,,
大学,パリ大学,1150,,,,フランス,,,
同盟,バルカン同盟,1912,,,,,,,
武装勢力@軍閥,パレスティナ・ゲリラ,,,,,,,,
政府@政権,パレスティナ自治政府,,,パレスティナ,,,,,
同盟,ハンザ同盟,,,,,,,,
政府@政権,ピウスツキ政権,,,,,,,,
政府@政権@内閣,ヒトラー内閣,1933,1945,,ナチス・ドイツ,ドイツ, ヒトラー,,
宗教組織@組織,ピューリタン,,,清教徒,,,,,
議会,ファシスタ大評議会,,,ファシスト大評議会@ファシズム大評議会,,,,,
政党@党,ファシスト党,,1943,ファシスタ党,イタリア王国,,,,
政府@政権,ファシスト政権,,,ファシスト党,,,,,
派閥@派,フイヤン派,1791,,,,,,,
団体@結社@同盟,フィリピン民族同盟,1892,,,フィリピン,,,,
団体@結社@協会,フェビアン協会,1884,,,,,,,
