class,instance,starting_time,ending_time,alias,nationality,land_of_origin,founder,upper_organization,religion
派閥@派,平民派,,,民衆派@ポプラレス,,,,,
国際組織@組織@機構,米州機構,1948/04/01,,OAS,,,,,
政党@党,保守党,1830頃,,,イギリス,,,,
武装勢力@軍閥,奉天派軍閥,,1928,奉天軍閥@東北軍閥,日本,,,,
学派,法家,,,,,中国,,,
政府@政権,豊臣政権,,,,日本,,豊臣秀吉,,
軍隊@軍,北ヴェトナム軍,,,,,,,,
軍隊@軍,北朝鮮軍,,,朝鮮人民軍,,,,,
武装勢力@軍閥,北洋軍閥,,,,,,,,
学派,墨家,,,,,中国,,,
政府@政権,朴政権,,,,,,,,
国際組織@組織@連合,万国郵便連合,1875,,,,,,,
軍隊,満州八旗,17世紀頃,,,,,ヌルハチ,,
議会,民会,,,,ギリシア,,,,
政府@政権,民主カンプチア政府,1976,1979,,カンボジア,,,,
政党@党,民主党,,1860,,アメリカ合衆国,,,,
政党@党,民進党,1986,,民主進歩党,中華民国,,,,
団体@結社,民族解放戦線,1954/11/01,1962年,FLN,,,,,
軍隊@隊,無敵艦隊,1588,1588,アルマダの海戦,スペイン,,,,
学派,名家,,,,,中国,,,
軍隊,明軍,,,,,,,,
政府@政権,明治政府,,,,,,,,
議会,模範議会,1295,,,,,,,
軍隊,蒙古八旗,17世紀前半,,,,,,,
派閥@派,洋務派,1860頃,,,,,,,
学派@派,陽明学派,,,陽明学,明,,王陽明,,
省庁,吏部,,,,後漢,,,,
政府@政権,李登輝国民党政権,,,,,,,,
省庁,理藩院,1638,1661,,清,,,,
政党@党,立憲民主党,1905,1918,,ロシア,,,,
議会,立法議会,1791,1792,立法国民議会,,フランス,,,
藩,琉球藩,1872,1879,,日本,,,,
軍隊,緑営,1644,,清代,清,,,,
省庁,礼部,,1911,,,,,,
同盟,露仏同盟,,,,,,,,
団体@結社@会,労働代表委員会,,,,,,,,
政党@党,労働党,1900,,,イギリス,,,,
省庁,六部,,,,,,,,
政府@政権,冀東防共自治政府,1935,1938,,,中国,,,
政府@政権,崔氏政権,1170,1270,武臣政権@武人政権,高麗,,,,
財閥,浙江財閥,19世紀後半,,,,中国,,,
武装勢力@軍閥@軍,淮軍,1862,,淮勇,清,,李鴻章,,
政府@政権,袁世凱政権,1913/10/01,,袁世凱政府@袁政府@袁世凱帝政,,,,,
派閥@派,閔氏派,,,,,,,,
同盟,連合国,,,,,,,,
同盟,中央同盟国,,,,,,同盟国,,
同盟,武装中立同盟,1780@1800,1783@1801,,ロシア@スウェーデン@デンマーク@プロイセンポルトガル,,,,
同盟,隣保同盟,,,,,,,
共同体,氏族,,,,,,,
学園,アカデメイア,,,,プラトン,,,
学派,陰陽家,,,,諸子百家,,,,
学派,農家,,,,諸子百家,,,,
学派@総称,諸子百家,,,,思想家@諸学派,中国,,,
軍,重装歩兵,,,ローマ重装歩兵,ローマ,,,,
団体,仏教教団,,,サンガ,仏教,,,,
結社,太平道,2世紀後半,,,張角,道教,,,
結社,五斗米道,2世紀後半,215,天師道,張陵,道教,,,
機関,門下省,,,,唐,,,
機関,尚書省,,,,唐,,,
機関,御史台,,,,唐,,,
機関,都督府,,,,唐,,,
機関,都護府,,,,唐,,,
機関,安東都護府,668,,,平壌,,,
機関,安北都護府,647,,,外モンゴル,,,
機関,単于都護府,650,,,フフホト,,,
機関,安西都護府,640,,,,,,
機関,北庭都護府,702,,,ビシュバリク,,,
機関,画院,,,翰林図画院,中国,,,
機関@総称,三省,,,,唐,中書省@門下省@尚書省,,
結社,白蓮社,4世紀末,,,慧遠,盧山,,
結社,太平道,2世紀後半,184,,中国,張角,,
結社,五斗米道,2世紀後半,215,天師道,蜀,張陵,,
省庁,戸部,,,,唐,,,
省庁,兵部,,,,唐,,,
省庁,刑部,,,,唐,,,
省庁,工部,,,,唐,,,
組織@卿村,郷,,,,漢,,,
組織@卿村,亭,,,,漢,,,
組織@卿村,里,,,,漢,,,
組織@軍,禁軍,,,,宋,,,
軍営@機関,折衝府,,,,唐,,,
派閥@党,旧法党,,,,宋,,,
派閥,正一教,,,大師道,道教,五斗米道,,,
組織,猛安・謀克,,,,完顔阿骨打,金,,,
官庁,北面官,,,,遼,二重統治体制,,,
官庁,何面間,,,,遼,二重統治体制,,,
