class,instance,evt:starting_time,evt:ending_time,evt:alias,evt:location,evt:builder,
聖堂,長忠大聖堂,,,,,,
聖堂,ノートルダム大聖堂,,,,,,
聖堂,バグラティ大聖堂,,,,,,
聖堂,ハリストス復活大聖堂,,,,,,
聖堂,ファドゥーツ大聖堂,,,,,,
聖堂,ヘルシンキ大聖堂,,,,,,
聖堂,ホーリー・トリニティ教会,,,ジブラルタル教会,,,
聖堂,マニラ大聖堂,,,,,,
聖堂,メキシコシティ・メトロポリタン大聖堂,,,,,,
聖堂,ラプラタ大聖堂,,,,,,
聖堂,リガ大聖堂,,,,,,
聖堂,レオン大聖堂,,,,,,
聖堂,ロスキレ大聖堂,,,,,,
聖堂,アマルフィ大聖堂,,,,,,
聖堂,サン・ジョバンニ・イン・ラテラノ大聖堂,,,,,,
聖堂,サンタ・マリア・デル・フィオーレ大聖堂,,,サンタ・マリア大聖堂,,,
聖堂,サンタ・マリア・マッジョーレ大聖堂,,,,,,
聖堂,サン・パオロ・フオーリ・レ・ムーラ大聖堂,,,,,,
聖堂,サン・マルコ寺院,,,,,,
聖堂,サン・ロレンツォ大聖堂,,,,,,
聖堂,サン・ロレンツォ・フオーリ・レ・ムーラ大聖堂,,,,,,
聖堂,シエナ大聖堂,,,,,,
聖堂,聖ジョルジオ・デイ・グレーチ大聖堂,,,,,,
聖堂,ミラノのドゥオーモ,,,,,,
聖堂,ナポリ大聖堂,,,,,,
聖堂,パードヴァのドゥオーモ,,,,,,
聖堂,パルマ大聖堂,,,,,,
聖堂,ミラノ大聖堂,,,,,,
聖堂,モデナ大聖堂,,,,,,
聖堂,モンレアーレ大聖堂,,,,,,
遺跡,ピュロス,,,,,,,
遺跡,ジャルモ,前8000,前6000,,メソポタミア北部,,,
遺跡,ボアズキョイ,,,ハットゥシャ,,,,
倉,正倉院,,,,,,,
塔,ジッグラト,,,聖塔,,,,
寺院@寺,法隆寺,,,,,,,
宮殿,阿房宮,,,,咸陽,始皇帝,,,
城,鄭州城,,,,殷,,,,
街道@道路,アッピア街道,前312,,ローマ@カプア,アッピウス,,,,
橋@水道橋,ガール水道橋,,,,フランス@ガール川,,,,
寺院@遺跡,エローラ石窟寺院,,,,インド,仏教@ヒンドゥー教@ジャイナ教,,,
道路,軍道,,,,,,,,
墓所@避難所@礼拝所,カタコンベ,,,,キリスト教,,,,
門,凱旋門,,,,ローマ,,,,
浴場,公共浴場,,,,,,,,
浴場,カラカラ浴場,212,216,,カラカラ,ローマ,,,
神殿,太陽のピラミッド,前2世紀,,,テオティワカン文明,,,
神殿,階段ピラミッド,4世紀,,マヤの神殿,マヤ文明,,,
宮殿,ポタラ宮殿,1642,,ポタラ宮,ラサ,,,
寺院,石窟庵,751,,,慶州,,,
